FlightNumber,Origin,Destination,ScheduledDeparture,CargoPriorityScore,SLADeliveryTime,DurationMinutes,AircraftID,CrewID,CargoType,Volume,Hazmat
2001,SDF,JFK,00:00,10,04:00,90,A101,C01,Medical,500,0
2002,SDF,ORD,00:30,9,03:00,60,A102,C02,NextDay,800,0
2003,SDF,ATL,01:00,8,05:00,75,A103,C03,Priority,1200,0
2004,SDF,DFW,01:30,7,03:30,120,A104,C04,Standard,2000,0
2005,SDF,LAX,02:00,10,04:30,240,A105,C05,Medical,300,0
2006,SDF,MEM,02:30,6,06:00,45,A106,C06,Standard,1500,1
2007,SDF,JFK,03:00,9,05:30,90,A101,C07,NextDay,600,0
2008,SDF,ORD,03:30,5,06:30,60,A102,C08,Standard,1800,0
2009,SDF,ATL,04:00,8,07:00,75,A103,C01,Priority,900,0
2010,SDF,DFW,04:30,7,08:00,120,A104,C02,Standard,2200,0
2011,SDF,LAX,05:00,10,09:00,240,A105,C03,Medical,400,0
2012,SDF,MEM,05:30,6,10:00,45,A106,C04,Standard,1600,0
2013,SDF,JFK,06:00,9,11:00,90,A101,C05,NextDay,700,0
2014,SDF,ORD,06:30,5,12:00,60,A102,C06,Standard,1900,0 